2023-04-08 08:35:10.214 [main] INFO  com.example.calculator.Calculator - 创建 创建计算器 
2023-04-08 09:32:54.174 [main] INFO  com.example.calculator.Calculator - 生成ID：f1f70e28-a2b3-4d4e-ae26-a92229ac67cb 并绑定
2023-04-08 09:32:54.175 [main] INFO  com.example.calculator.Calculator - ID: f1f70e28-a2b3-4d4e-ae26-a92229ac67cb 释放
2023-04-08 09:32:54.182 [main] INFO  com.example.calculator.Calculator - 关闭 创建计算器 
2023-04-08 09:33:22.735 [main] INFO  com.example.calculator.Calculator - 创建 创建计算器 
2023-04-08 09:33:23.287 [main] INFO  com.example.calculator.Calculator - 生成ID：f0f86335-e915-48b4-87d5-2eaa81e26a36 并绑定
2023-04-08 09:33:23.318 [main] INFO  com.example.calculator.test.Calculator_day2 - 计算结果 2
2023-04-08 09:33:23.328 [main] INFO  com.example.calculator.Calculator - ID: f0f86335-e915-48b4-87d5-2eaa81e26a36 释放
2023-04-08 09:33:23.344 [main] INFO  com.example.calculator.Calculator - 生成ID：8139c556-2d9d-4931-ae2b-10a66305af68 并绑定
2023-04-08 09:33:23.344 [main] INFO  com.example.calculator.test.Calculator_day2 - 计算结果 196
2023-04-08 09:33:23.345 [main] INFO  com.example.calculator.Calculator - ID: 8139c556-2d9d-4931-ae2b-10a66305af68 释放
2023-04-08 09:33:23.348 [main] INFO  com.example.calculator.Calculator - 生成ID：fa2af7de-309b-4303-a7ce-8981a8b573c7 并绑定
2023-04-08 09:33:23.349 [main] INFO  com.example.calculator.test.Calculator_day2 - 计算结果 0
2023-04-08 09:33:23.349 [main] INFO  com.example.calculator.Calculator - ID: fa2af7de-309b-4303-a7ce-8981a8b573c7 释放
2023-04-08 09:33:23.352 [main] INFO  com.example.calculator.Calculator - 生成ID：b70462c3-7ffe-4609-9783-04a13e6dea6e 并绑定
2023-04-08 09:33:23.353 [main] INFO  com.example.calculator.test.Calculator_day2 - 计算结果 -196
2023-04-08 09:33:23.353 [main] INFO  com.example.calculator.Calculator - ID: b70462c3-7ffe-4609-9783-04a13e6dea6e 释放
2023-04-08 09:33:23.356 [main] INFO  com.example.calculator.Calculator - 生成ID：8e25fbfa-4e16-4c97-89fd-80058656718b 并绑定
2023-04-08 09:33:23.356 [main] WARN  com.example.calculator.Calculator - integer is 100！
2023-04-08 09:33:23.358 [main] INFO  com.example.calculator.Calculator - ID: 8e25fbfa-4e16-4c97-89fd-80058656718b 释放
2023-04-08 09:33:23.368 [main] INFO  com.example.calculator.Calculator - 生成ID：06e2b1d0-60e4-487c-96fa-17c92b5cc240 并绑定
2023-04-08 09:33:23.368 [main] WARN  com.example.calculator.Calculator - 请输入范围内的整数
2023-04-08 09:33:23.369 [main] INFO  com.example.calculator.Calculator - ID: 06e2b1d0-60e4-487c-96fa-17c92b5cc240 释放
2023-04-08 09:33:23.374 [main] INFO  com.example.calculator.Calculator - 生成ID：4e42727e-8d9d-4eed-9c26-02e07fe6a63c 并绑定
2023-04-08 09:33:23.375 [main] WARN  com.example.calculator.Calculator - integer is 100！
2023-04-08 09:33:23.376 [main] INFO  com.example.calculator.Calculator - ID: 4e42727e-8d9d-4eed-9c26-02e07fe6a63c 释放
2023-04-08 09:33:23.382 [main] INFO  com.example.calculator.Calculator - 生成ID：a22e28f0-f317-4282-bcdc-463b4c4c41b9 并绑定
2023-04-08 09:33:23.383 [main] WARN  com.example.calculator.Calculator - 请输入范围内的整数
2023-04-08 09:33:23.383 [main] INFO  com.example.calculator.Calculator - ID: a22e28f0-f317-4282-bcdc-463b4c4c41b9 释放
2023-04-08 09:33:23.387 [main] INFO  com.example.calculator.Calculator - 关闭 创建计算器 
2023-04-08 09:34:00.102 [main] INFO  com.example.calculator.Calculator - 创建 创建计算器 
2023-04-08 09:34:00.683 [main] INFO  com.example.calculator.Calculator - 生成ID：42dcd7ab-2398-4a94-855f-7c3221b22315 并绑定
2023-04-08 09:34:00.704 [main] INFO  com.example.calculator.test.Calculator_day2 - 计算结果 1
2023-04-08 09:34:00.712 [main] INFO  com.example.calculator.Calculator - ID: 42dcd7ab-2398-4a94-855f-7c3221b22315 释放
2023-04-08 09:34:00.730 [main] INFO  com.example.calculator.Calculator - 生成ID：583724c2-7802-43aa-912c-a7f045d56deb 并绑定
2023-04-08 09:34:00.730 [main] INFO  com.example.calculator.test.Calculator_day2 - 计算结果 1
2023-04-08 09:34:00.731 [main] INFO  com.example.calculator.Calculator - ID: 583724c2-7802-43aa-912c-a7f045d56deb 释放
2023-04-08 09:34:00.737 [main] INFO  com.example.calculator.Calculator - 生成ID：0ecd592c-b8cf-4634-841c-690006fa8a51 并绑定
2023-04-08 09:34:00.738 [main] INFO  com.example.calculator.test.Calculator_day2 - 计算结果 -1
2023-04-08 09:34:00.740 [main] INFO  com.example.calculator.Calculator - ID: 0ecd592c-b8cf-4634-841c-690006fa8a51 释放
2023-04-08 09:34:00.750 [main] INFO  com.example.calculator.Calculator - 生成ID：bd5c496e-6ee4-4629-8292-bd75501fd167 并绑定
2023-04-08 09:34:00.751 [main] INFO  com.example.calculator.test.Calculator_day2 - 计算结果 1
2023-04-08 09:34:00.752 [main] INFO  com.example.calculator.Calculator - ID: bd5c496e-6ee4-4629-8292-bd75501fd167 释放
2023-04-08 09:34:00.758 [main] INFO  com.example.calculator.Calculator - 生成ID：9efb65e6-29bb-4f78-b11b-2a0ef818cd2f 并绑定
2023-04-08 09:34:00.759 [main] WARN  com.example.calculator.Calculator - 请输入范围内的整数
2023-04-08 09:34:00.759 [main] INFO  com.example.calculator.test.Calculator_day2 - 计算结果 0
2023-04-08 09:34:00.759 [main] INFO  com.example.calculator.Calculator - ID: 9efb65e6-29bb-4f78-b11b-2a0ef818cd2f 释放
2023-04-08 09:34:00.763 [main] INFO  com.example.calculator.Calculator - 生成ID：5fdc9776-c7f6-4752-a391-a2deea933945 并绑定
2023-04-08 09:34:00.764 [main] WARN  com.example.calculator.Calculator - 请输入范围内的整数
2023-04-08 09:34:00.764 [main] INFO  com.example.calculator.test.Calculator_day2 - 计算结果 0
2023-04-08 09:34:00.764 [main] INFO  com.example.calculator.Calculator - ID: 5fdc9776-c7f6-4752-a391-a2deea933945 释放
2023-04-08 09:34:00.768 [main] INFO  com.example.calculator.Calculator - 生成ID：b3ad56df-c3b2-41fb-9462-f0715ccfa380 并绑定
2023-04-08 09:34:00.768 [main] WARN  com.example.calculator.Calculator - 请输入范围内的整数
2023-04-08 09:34:00.768 [main] INFO  com.example.calculator.test.Calculator_day2 - 计算结果 0
2023-04-08 09:34:00.768 [main] INFO  com.example.calculator.Calculator - ID: b3ad56df-c3b2-41fb-9462-f0715ccfa380 释放
2023-04-08 09:34:00.772 [main] INFO  com.example.calculator.Calculator - 生成ID：19f83705-c9fb-4179-b709-ca0337c4a4d6 并绑定
2023-04-08 09:34:00.772 [main] WARN  com.example.calculator.Calculator - 请输入范围内的整数
2023-04-08 09:34:00.772 [main] INFO  com.example.calculator.test.Calculator_day2 - 计算结果 0
2023-04-08 09:34:00.772 [main] INFO  com.example.calculator.Calculator - ID: 19f83705-c9fb-4179-b709-ca0337c4a4d6 释放
2023-04-08 09:34:00.776 [main] INFO  com.example.calculator.Calculator - 关闭 创建计算器 
2023-04-08 09:34:52.407 [main] INFO  com.example.calculator.Calculator - 创建 创建计算器 
2023-04-08 09:34:53.010 [main] INFO  com.example.calculator.Calculator - 生成ID：9b3d3394-120e-4bd3-9bb7-61e941fec8e6 并绑定
2023-04-08 09:34:53.054 [main] INFO  com.example.calculator.test.Calculator_day2 - 计算结果 2
2023-04-08 09:34:53.068 [main] INFO  com.example.calculator.Calculator - ID: 9b3d3394-120e-4bd3-9bb7-61e941fec8e6 释放
2023-04-08 09:34:53.086 [main] INFO  com.example.calculator.Calculator - 生成ID：60fad449-295d-4a01-bcd7-2222829d8e65 并绑定
2023-04-08 09:34:53.087 [main] INFO  com.example.calculator.test.Calculator_day2 - 计算结果 1
2023-04-08 09:34:53.088 [main] INFO  com.example.calculator.Calculator - ID: 60fad449-295d-4a01-bcd7-2222829d8e65 释放
2023-04-08 09:34:53.093 [main] INFO  com.example.calculator.Calculator - 生成ID：135ac5d5-5c6a-4a2d-9478-3f0dac66ddfa 并绑定
2023-04-08 09:34:53.094 [main] INFO  com.example.calculator.test.Calculator_day2 - 计算结果 -1
2023-04-08 09:34:53.095 [main] INFO  com.example.calculator.Calculator - ID: 135ac5d5-5c6a-4a2d-9478-3f0dac66ddfa 释放
2023-04-08 09:34:53.098 [main] INFO  com.example.calculator.Calculator - 生成ID：37eefaaf-bd82-4952-af0b-488a08936401 并绑定
2023-04-08 09:34:53.099 [main] INFO  com.example.calculator.test.Calculator_day2 - 计算结果 1
2023-04-08 09:34:53.100 [main] INFO  com.example.calculator.Calculator - ID: 37eefaaf-bd82-4952-af0b-488a08936401 释放
2023-04-08 09:34:53.103 [main] INFO  com.example.calculator.Calculator - 生成ID：1f990841-2a54-41cb-a226-2a87595569d3 并绑定
2023-04-08 09:34:53.104 [main] WARN  com.example.calculator.Calculator - 请输入范围内的整数
2023-04-08 09:34:53.104 [main] INFO  com.example.calculator.test.Calculator_day2 - 计算结果 0
2023-04-08 09:34:53.107 [main] INFO  com.example.calculator.Calculator - ID: 1f990841-2a54-41cb-a226-2a87595569d3 释放
2023-04-08 09:34:53.117 [main] INFO  com.example.calculator.Calculator - 生成ID：33ab575f-012f-4029-8bc9-3b9bd436b81d 并绑定
2023-04-08 09:34:53.118 [main] WARN  com.example.calculator.Calculator - 请输入范围内的整数
2023-04-08 09:34:53.118 [main] INFO  com.example.calculator.test.Calculator_day2 - 计算结果 0
2023-04-08 09:34:53.119 [main] INFO  com.example.calculator.Calculator - ID: 33ab575f-012f-4029-8bc9-3b9bd436b81d 释放
2023-04-08 09:34:53.127 [main] INFO  com.example.calculator.Calculator - 生成ID：594f6e92-299a-41a6-9086-d2d307812832 并绑定
2023-04-08 09:34:53.128 [main] WARN  com.example.calculator.Calculator - 请输入范围内的整数
2023-04-08 09:34:53.128 [main] INFO  com.example.calculator.test.Calculator_day2 - 计算结果 0
2023-04-08 09:34:53.129 [main] INFO  com.example.calculator.Calculator - ID: 594f6e92-299a-41a6-9086-d2d307812832 释放
2023-04-08 09:34:53.139 [main] INFO  com.example.calculator.Calculator - 关闭 创建计算器 
